Single Domain Error(us),10 domains (10 hops each) Error(us),100_converted(us)
2.818,1.33,0.639
1.068,1.012,0.593
-2.593,-1.44,2.329
0.103,0.357,0.958
0.08,0.628,1.389
-0.17,0.504,-1.371
0.917,-1.176,0.056
-0.625,-0.254,-0.401
0.561,0.428,1.095
0.757,-1.596,1.611
-1.529,0.774,-0.809
-2.913,0.653,-1.285
1.051,1.147,0.851
0.849,-1.557,-1.845
-0.447,1.209,-0.676
-1.785,-3.575,-1.471
-3.487,1.003,-0.576
1.764,1.036,1.026
2.339,-2.06,1.37
1.918,-1.011,-1.215
-2.129,-1.456,-1.4
-0.806,-0.207,-1.476
-1.93,-1.58,-0.738
-1.451,0.996,-0.645
-0.31,-2.852,-1.306
-0.427,-1.018,0.988
1.341,0.919,-0.387
-0.804,-0.009,-1.195
0.338,0.822,1.426
1.006,1.828,1.433
-0.057,-0.229,1.27
-0.424,1.118,0.186
1.234,-1.371,0.579
-0.08,1.365,-0.223
2.137,-0.691,-0.705
-3.073,-1.904,1.382
0.837,0.502,0.568
-0.81,-0.049,-1.85
0.246,-2.557,-1.328
-2.014,-1.158,-0.07
-0.592,0.584,-0.782
-1.253,0.446,0.379
1.237,-1.872,-0.594
-1.604,-0.703,0.649
-0.481,-0.031,-0.871
-0.624,-3.522,1.017
2.18,0.474,1.054
-1.458,0.721,-2.034
-0.908,-0.991,2.187
-2.9,2.975,0.817
0.241,-0.723,-0.596
1.9,1.208,-1.377
1.414,-2.44,0.368
1.063,-2.382,0.089
0.904,0.989,-0.061
0.704,-1.311,-0.335
4.006,-0.381,1.09
-1.609,-0.039,0.775
-1.033,0.239,1.219
-0.658,0.088,1.115
1.867,0.007,0.756
-0.195,-2.591,-0.921
1.237,-0.239,1.128
0.138,1.368,1.69
0.063,-3.109,-1.088
0.455,-1.629,1.559
0.115,-0.189,0.309
0.905,-0.352,-0.216
1.674,-0.642,0.325
-0.648,0.607,0.237
-2.575,0.572,2.01
0.294,0.224,-0.853
-1.137,-1.629,1.032
-1.736,2.193,-0.599
0.018,1.33,1.03
-0.831,0.339,1.001
-0.786,-1.849,1.57
1.32,-0.418,-0.815
-3.023,0.583,1.264
-0.495,1.488,0.926
-0.172,-0.61,-0.795
2.71,1.71,-0.562
1.297,-1.221,-0.879
2.016,-1.504,-0.505
0.104,-0.976,1.117
-2.662,-4.402,0.849
0.05,-0.196,0.533
1.578,1.768,-0.306
1.466,1.86,-0.385
-3.137,-1.166,-0.508
1.057,1.445,-0.303
2.003,2.145,2.045
-0.413,0.605,0.556
-2.192,0.216,0.318
-1.755,-0.288,-0.549
0.557,-2.657,-1.469
-0.658,0.813,-0.948
-0.476,1.384,-0.405
-0.916,0.563,-0.839
-0.4,-0.814,1.56
-1.949,2.019,-1.526
-0.407,0.732,1.932
0.056,-2.136,-0.333
0.66,-0.877,-0.439
-0.565,1.204,0.255
0.522,1.656,0.846
2.697,-0.169,-0.746
-1.299,0.893,0.426
0.076,-1.557,-1.071
-0.602,2.252,-0.6
-1.253,0.368,0.538
1.127,1.66,-1.484
2.46,1.368,0.366
1.829,-1.112,-0.253
-2.947,-0.878,-0.77
-0.538,-0.449,1.999
-0.642,-0.332,0.968
-0.971,0.875,1.617
2.329,-1.749,-0.782
2.401,2.054,0.2
2.241,-1.78,0.845
-0.827,0.369,1.596
2.49,0.812,-0.12
0.61,-0.594,1.773
-0.935,1.218,0.832
0.569,0.055,1.078
-0.855,0.03,0.61
1.237,0.096,-0.977
1.239,-2.444,1.0
0.143,0.059,-0.721
-1.173,-1.228,-1.003
0.807,-0.635,-0.457
-1.731,-0.933,0.275
-3.101,-1.577,-0.431
-0.075,1.583,2.152
1.677,-1.46,-1.147
-0.638,-1.139,-1.413
0.222,0.762,-0.798
-2.267,-0.962,0.801
-1.48,-1.386,-1.12
0.08,0.397,-0.16
-0.674,1.403,-0.959
0.722,0.665,-1.256
-1.168,2.564,-0.354
-2.352,0.581,2.192
-0.065,-1.064,-1.314
1.723,1.253,-1.728
3.716,-0.883,-1.134
-0.146,-1.061,-0.899
2.214,-0.353,0.191
-0.481,0.721,2.173
-0.05,-2.843,0.322
-2.657,1.259,-1.302
0.869,1.151,1.519
-0.504,0.151,0.94
1.11,1.284,0.332
0.126,0.767,-0.821
2.572,-1.677,1.586
1.887,-0.199,0.799
-0.7,0.897,1.918
-1.01,1.514,-1.833
-2.545,-0.555,1.11
-0.916,0.971,1.197
1.857,-1.716,1.06
0.739,-0.419,-1.304
-0.231,1.094,-0.689
-1.471,-1.368,-0.864
-0.786,-0.586,1.937
-0.289,1.128,0.594
1.241,0.016,-0.474
1.097,-0.545,0.598
-0.546,1.823,-0.8
2.161,1.854,-0.96
-1.115,-1.431,-0.59
-1.468,-0.428,1.077
-0.925,-2.075,0.779
3.553,-0.483,-1.264
-1.656,-0.401,1.335
2.164,-1.459,1.206
-0.966,0.934,0.59
-2.317,-0.405,0.44
-0.517,-1.313,-0.834
2.716,1.609,0.283
-2.454,1.224,1.494
-1.909,-1.169,-0.318
1.805,0.176,-1.285
-1.062,3.456,-1.608
-3.319,0.296,-1.154
2.197,-0.427,1.074
0.118,0.455,-1.324
0.429,0.868,1.414
2.222,2.517,-0.222
-3.462,1.852,-0.124
-2.828,-0.45,0.136
-0.196,0.136,1.278
2.631,1.611,-1.154
0.747,0.973,1.611
0.361,0.303,0.962
-2.386,-0.946,-0.689
-0.806,-1.056,-0.734
2.808,0.936,1.79
1.565,1.298,-0.849
